rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH105A_P7_C11_S35_L003_R1_001	1.933200386	0.424315898	-1.684526881	-1.194327212	-1.498295847	-0.366449405	-0.13543256	0.080036505	MES.2	MES.2	MES	Diff	MES	MES	MGH105A	MGH105A_P7_C1_S2_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C12_S36_L003_R1_001	-0.17778626	-0.186856564	0.671882173	0.353882291	0.427502771	0.201160051	0.989520312	1.386156622	G2.M	AC	AC	G2.M	G2.M	G2.M	MGH105A	MGH105A_P7_C1_S2_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C3_S27_L003_R1_001	0.720669584	0.968580956	-1.629650878	-0.898096331	-1.318028467	-0.563392303	-0.018295045	0.280580915	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_C1_S2_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C4_S28_L003_R1_001	-0.378773759	0.293216652	1.643764674	0.377098814	-0.149462475	-0.241865956	0.257996031	-0.117292992	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_C1_S2_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C5_S29_L003_R1_001	-0.465897539	-0.595687817	0.402373366	0.740787269	0.918463722	0.376464463	-0.093373591	0.029329162	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105A	MGH105A_P7_C1_S2_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C6_S30_L003_R1_001	-0.431444737	-1.056102278	0.340895408	0.153930355	0.109654938	-0.182387577	-0.019134619	0.311290007	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_C1_S2_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_C9_S33_L003_R1_001	-0.905960492	-0.74096289	2.125824753	0.481066563	0.53191981	-0.075132913	-0.414109033	-0.024980781	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_C1_S2_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D1_S37_L003_R1_001	-0.494850957	-1.313887837	0.529448549	0.713531032	0.483803328	-0.182063132	2.013027151	0.534675628	G1.S	OPC	OPC	G1.S	G1.S	G1.S	MGH105A	MGH105A_P7_C1_S2_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D10_S46_L003_R1_001	-0.481341918	-0.059735327	0.894564533	0.314594387	0.092787614	0.088019878	-0.29215667	-0.381791807	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_C1_S2_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D11_S47_L003_R1_001	-0.335397208	-1.097307102	-0.609188615	-0.584351094	0.328619814	0.15375751	-0.288419101	0.23305335	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105A	MGH105A_P7_C1_S2_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D3_S39_L003_R1_001	2.404929577	1.598972663	-2.003230841	-1.174759961	-1.144564136	-0.488625187	-0.047091401	0.108380112	MES.2	MES.2	MES	Diff	MES	MES	MGH105A	MGH105A_P7_C1_S2_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D4_S40_L003_R1_001	-0.226513177	0.245646557	0.560337418	-0.28704892	-0.386864341	-0.335481898	-0.128444649	0.023417267	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_C1_S2_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D5_S41_L003_R1_001	-0.811674607	-1.048356774	0.057297091	0.97299842	1.842473282	0.531381929	-0.277173376	-0.194703627	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105A	MGH105A_P7_C1_S2_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D6_S42_L003_R1_001	-0.651277013	-1.014377785	-0.246103305	0.792244622	2.01905113	0.891248203	0.425663653	-0.321103443	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105A	MGH105A_P7_C1_S2_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_D9_S45_L003_R1_001	1.330395381	0.898837659	-1.441645892	-0.957059412	-0.959917337	-0.252456754	-0.361927142	-0.337966972	MES.2	MES.2	MES	Diff	MES	MES	MGH105A	MGH105A_P7_C1_S2_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_E1_S49_L003_R1_001	0.719749872	1.58545772	-0.85683805	-0.614133303	-0.857096598	0.008342175	0.17714362	0.103738527	MES.1	MES.1	MES	Diff	MES	MES	MGH105A	MGH105A_P7_E1_S3_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_E10_S58_L003_R1_001	-0.476580222	-0.294544941	0.776820852	0.224003489	0.667969382	0.379166024	-0.27001652	-0.205147556	AC	AC	AC	Diff	AC	AC	MGH105A	MGH105A_P7_E1_S3_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_E11_S59_L003_R1_001	-0.553250715	-0.584997188	0.359966079	0.120178251	0.350421342	0.089128597	0.687799292	-0.347300689	G1.S	AC	AC	G1.S	G1.S	G1.S	MGH105A	MGH105A_P7_E1_S3_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_E12_S60_L003_R1_001	-1.001145694	-1.237331404	0.734916714	1.155829576	1.304432022	0.193000184	-0.095638565	-0.098382383	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105A	MGH105A_P7_E1_S3_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH105A_P7_E4_S52_L003_R1_001	-0.133553095	-1.748341748	-1.517683563	0.829170814	1.320458398	0.542147251	-0.299647682	-0.130522292	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH105A	MGH105A_P7_E1_S3_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
